frame,x1,y1,x2,y2,cx,cy
0,1168,716,1328,837,1248,777
1,1167,729,1327,846,1247,788
2,1164,734,1324,847,1244,790
3,1157,740,1325,857,1241,799
4,1154,751,1328,865,1241,808
5,1174,758,1330,865,1252,812
6,1186,766,1332,874,1259,820
7,1183,776,1327,882,1255,829
8,1177,781,1335,884,1256,832
9,1191,788,1340,894,1266,841
10,1166,798,1345,912,1255,855
11,1193,805,1346,926,1269,865
12,1196,816,1347,921,1271,869
13,1200,826,1351,929,1276,877
14,1200,831,1348,927,1274,879
15,1206,843,1360,931,1283,887
16,1210,850,1361,944,1286,897
17,1210,860,1361,949,1286,905
18,1211,864,1360,954,1285,909
19,1226,871,1361,957,1294,914
20,1221,872,1361,957,1291,915
21,1233,870,1362,956,1297,913
22,1209,856,1359,950,1284,903
23,1197,844,1360,934,1278,889
24,1209,831,1355,932,1282,881
25,1215,814,1363,928,1289,871
26,1226,802,1365,912,1296,857
27,1240,782,1374,896,1307,839
28,1258,765,1397,874,1328,820
29,1295,742,1431,859,1363,800
30,1330,707,1471,820,1400,763
31,1338,664,1496,793,1417,728
32,1317,617,1457,746,1387,682
33,1292,582,1445,707,1368,645
34,1248,551,1401,684,1324,618
35,1227,525,1373,650,1300,588
36,1202,504,1347,621,1274,563
37,1187,487,1332,647,1260,567
38,1176,470,1331,615,1253,543
39,1173,464,1324,613,1248,538
40,1168,459,1322,629,1245,544
41,1166,462,1319,625,1242,543
42,1165,465,1321,623,1243,544
43,1150,466,1314,645,1232,555
44,1152,473,1303,638,1228,556
45,1153,477,1296,630,1225,554
46,1148,482,1290,627,1219,554
47,1141,486,1276,627,1208,557
48,1134,490,1274,628,1204,559
49,1130,487,1262,630,1196,559
50,1127,491,1257,654,1192,573
51,1124,494,1252,644,1188,569
52,1119,497,1248,639,1183,568
53,1107,501,1244,660,1175,580
54,1083,504,1238,664,1161,584
55,1104,506,1234,654,1169,580
56,1100,514,1231,651,1166,583
57,1095,517,1228,653,1161,585
58,1076,518,1223,671,1149,594
59,1071,520,1212,677,1141,598
