frame,x1,y1,x2,y2,cx,cy
0,1312,727,1434,853,1373,790
1,1312,727,1434,853,1373,790
2,1311,727,1433,853,1372,790
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,1508,643,1628,769,1568,706
19,1508,643,1629,769,1568,706
20,1508,643,1629,769,1568,706
21,1508,643,1629,769,1568,706
22,1508,643,1629,769,1569,706
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,1511,486,1622,629,1567,557
29,1511,486,1622,629,1567,557
30,1512,487,1622,629,1567,558
31,1511,486,1622,629,1567,558
32,1511,486,1622,629,1567,558
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,827,339,988,479,908,409
53,827,339,989,479,908,409
54,827,339,989,479,908,409
55,827,339,988,479,908,409
56,827,338,989,479,908,409
57,954,359,1073,498,1014,428
58,954,359,1073,498,1014,428
59,954,359,1073,498,1014,428
