frame,x1,y1,x2,y2,cx,cy
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,841,940,957,1035,899,987
7,840,940,956,1035,898,987
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,763,867,894,955,829,911
13,763,867,894,955,829,911
14,763,867,894,955,829,911
15,763,867,894,955,829,911
16,763,867,894,955,829,911
17,0,0,0,0,0,0
18,817,784,928,917,873,851
19,817,784,928,918,873,851
20,730,873,865,965,797,919
21,730,873,865,965,798,919
22,729,872,866,965,798,918
23,694,891,875,990,784,940
24,667,902,808,1003,737,953
25,667,902,807,1003,737,953
26,667,902,807,1003,737,953
27,667,902,806,1003,736,953
28,667,902,806,1003,736,953
29,659,921,766,1004,712,963
30,599,907,738,1005,669,956
31,599,907,738,1005,669,956
32,587,873,745,998,666,935
33,587,872,745,998,666,935
34,587,872,744,998,665,935
35,579,839,723,962,651,900
36,585,793,745,930,665,862
37,585,792,745,930,665,861
38,585,792,745,931,665,861
39,585,791,744,930,665,861
40,585,792,745,931,665,861
41,601,740,792,891,696,815
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,689,590,842,733,766,662
48,738,574,879,722,809,648
49,738,574,879,722,809,648
50,738,574,879,722,808,648
51,738,574,879,722,808,648
52,738,574,879,722,809,648
53,737,554,933,711,835,632
54,764,548,953,692,858,620
55,765,548,954,692,859,620
56,755,550,939,688,847,619
57,754,549,934,690,844,620
58,754,549,934,691,844,620
59,0,0,0,0,0,0
