frame,x1,y1,x2,y2,cx,cy
0,1206,413,1375,586,1290,499
1,1206,413,1375,585,1291,499
2,1193,409,1352,568,1272,488
3,1192,409,1352,568,1272,489
4,1192,409,1353,568,1272,489
5,1192,409,1352,567,1272,488
6,1172,408,1328,560,1250,484
7,1172,408,1328,559,1250,484
8,1138,419,1296,557,1217,488
9,1136,419,1296,557,1216,488
10,1093,422,1275,568,1184,495
11,1095,423,1274,567,1184,495
12,1110,451,1255,585,1183,518
13,1110,451,1255,585,1183,518
14,1063,465,1240,612,1152,538
15,1063,465,1241,612,1152,538
16,1055,485,1234,621,1145,553
17,1056,485,1234,621,1145,553
18,1082,509,1241,639,1162,574
19,1082,509,1241,640,1162,574
20,1156,561,1290,657,1223,609
21,1156,561,1290,657,1223,609
22,1177,577,1318,686,1247,632
23,1177,578,1318,687,1247,632
24,1250,627,1404,725,1327,676
25,1250,627,1404,725,1327,676
26,1348,638,1488,726,1418,682
27,1346,638,1488,727,1417,682
28,1380,628,1525,722,1452,675
29,1379,628,1526,722,1452,675
30,1463,584,1609,679,1536,631
31,1463,584,1608,679,1536,631
32,1504,536,1644,645,1574,590
33,1504,536,1644,646,1574,591
34,1505,535,1644,645,1574,590
35,1512,506,1648,630,1580,568
36,1512,506,1648,631,1580,569
37,1512,506,1649,631,1581,568
38,1514,453,1652,561,1583,507
39,1513,453,1652,561,1583,507
40,1891,284,1920,401,1905,342
41,1891,284,1920,401,1905,342
42,1895,994,1920,1080,1907,1037
43,1895,994,1920,1080,1907,1037
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
