frame,x1,y1,x2,y2,cx,cy
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,920,462,1023,547,971,505
9,919,462,1022,548,971,505
10,918,461,1022,549,970,505
11,913,460,1023,551,968,505
12,917,464,1025,553,971,508
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,732,505,800,606,766,556
16,719,505,797,606,758,556
17,702,502,785,604,744,553
18,691,498,781,597,736,548
19,672,491,775,587,723,539
20,656,476,774,570,715,523
21,636,458,764,546,700,502
22,622,423,758,523,690,473
23,611,398,736,499,673,449
24,597,363,726,472,662,417
25,594,345,716,451,655,398
26,594,320,712,437,653,379
27,598,301,719,419,659,360
28,605,278,718,401,661,339
29,617,259,729,381,673,320
30,619,252,731,381,675,317
31,629,251,732,361,680,306
32,631,249,738,362,685,306
33,638,255,746,372,692,313
34,642,258,749,375,696,316
35,643,271,747,383,695,327
36,642,283,748,384,695,333
37,642,296,743,407,693,352
38,0,0,0,0,0,0
39,614,334,730,453,672,393
40,602,358,713,471,657,415
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
