frame,x1,y1,x2,y2,cx,cy
0,1085,547,1295,720,1190,633
1,1316,429,1539,637,1428,533
2,1316,429,1539,637,1428,533
3,1291,426,1516,634,1404,530
4,1317,428,1521,628,1419,528
5,1271,428,1495,636,1383,532
6,1271,428,1495,636,1383,532
7,1261,442,1477,636,1369,539
8,1262,443,1477,636,1369,540
9,1261,442,1477,636,1369,539
10,1234,469,1468,662,1351,565
11,1234,468,1468,661,1351,564
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,557,886,781,1080,669,983
15,557,886,781,1080,669,983
16,535,872,766,1080,651,976
17,535,874,766,1080,650,977
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,486,868,719,1073,602,970
21,491,867,722,1074,607,970
22,1101,452,1233,630,1167,541
23,1101,451,1234,631,1167,541
24,1100,452,1233,630,1167,541
25,1105,455,1256,632,1180,543
26,1105,455,1256,630,1181,542
27,1103,454,1256,630,1180,542
28,401,920,624,1080,513,1000
29,401,920,624,1080,512,1000
30,1342,674,1574,874,1458,774
31,1343,674,1574,874,1459,774
32,0,0,0,0,0,0
33,374,924,594,1080,484,1002
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,1097,352,1271,503,1184,428
39,1096,352,1271,504,1184,428
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,788,309,971,491,880,400
45,784,308,971,492,878,400
46,1160,380,1275,515,1217,447
47,1159,377,1279,515,1219,446
48,1149,370,1307,525,1228,447
49,1149,371,1308,525,1229,448
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,1148,418,1273,551,1210,484
53,1148,422,1269,551,1209,486
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,1606,431,1743,573,1675,502
57,1606,431,1744,573,1675,502
58,1601,415,1710,552,1656,483
59,1601,414,1710,552,1656,483
