frame,x1,y1,x2,y2,cx,cy
0,602,583,767,767,684,675
1,602,583,767,767,684,675
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,538,685,670,837,604,761
5,645,585,871,786,758,685
6,539,685,667,835,603,760
7,521,681,684,835,602,758
8,521,681,684,835,602,758
9,723,563,905,765,814,664
10,723,563,905,765,814,664
11,723,563,905,765,814,664
12,723,563,905,765,814,664
13,724,563,904,765,814,664
14,742,563,934,755,838,659
15,742,563,934,754,838,658
16,741,562,934,755,838,659
17,1096,550,1235,660,1165,605
18,1096,550,1234,660,1165,605
19,1104,523,1239,639,1171,581
20,1104,522,1238,639,1171,581
21,1104,523,1238,639,1171,581
22,447,604,585,755,516,679
23,447,603,586,755,517,679
24,1399,405,1501,521,1450,463
25,1399,405,1501,521,1450,463
26,1399,405,1501,521,1450,463
27,1399,405,1501,521,1450,463
28,1399,405,1501,521,1450,463
29,1105,458,1225,593,1165,525
30,1104,456,1225,593,1165,525
31,1105,457,1225,593,1165,525
32,774,500,944,699,859,599
33,774,500,943,699,859,599
34,796,520,970,712,883,616
35,796,520,970,712,883,616
36,796,520,970,712,883,616
37,828,549,984,723,906,636
38,828,549,985,723,907,636
39,984,562,1156,723,1070,643
40,984,562,1156,722,1070,642
41,984,562,1156,723,1070,642
42,984,562,1156,723,1070,643
43,983,562,1156,723,1070,642
44,1000,632,1140,778,1070,705
45,999,632,1140,778,1069,705
46,1091,586,1254,700,1173,643
47,1075,588,1238,724,1156,656
48,1074,588,1238,724,1156,656
49,946,552,1114,728,1030,640
50,945,553,1114,729,1030,641
51,948,552,1114,727,1031,640
52,976,651,1114,846,1045,749
53,976,651,1114,847,1045,749
54,964,714,1102,895,1033,805
55,964,714,1102,896,1033,805
56,964,714,1102,895,1033,805
57,964,714,1102,895,1033,805
58,964,714,1102,895,1033,805
59,956,788,1090,931,1023,860
