frame,x1,y1,x2,y2,cx,cy
0,1245,681,1401,787,1323,734
1,1246,681,1400,787,1323,734
2,1246,681,1400,787,1323,734
3,1273,718,1423,815,1348,766
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,1878,818,1920,932,1899,875
12,1682,485,1920,687,1801,586
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,359,937,476,1017,418,977
21,356,937,476,1016,416,977
22,341,935,473,1029,407,982
23,341,935,474,1029,407,982
24,340,936,473,1035,407,985
25,340,935,473,1034,407,985
26,347,935,476,1020,411,977
27,347,935,476,1020,412,977
28,343,933,474,1020,409,976
29,343,933,474,1020,409,976
30,340,935,464,1027,402,981
31,340,936,464,1027,402,981
32,275,924,429,1041,352,983
33,276,924,429,1041,353,982
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,425,939,535,1026,480,982
45,426,939,535,1026,481,982
46,1605,386,1765,581,1685,483
47,0,0,0,0,0,0
48,1583,398,1736,589,1660,494
49,1583,398,1737,589,1660,494
50,1569,401,1794,592,1681,496
51,1568,401,1794,593,1681,497
52,1505,582,1628,726,1567,654
53,1506,582,1629,726,1567,654
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,312,998,436,1080,374,1039
59,0,0,0,0,0,0
