frame,x1,y1,x2,y2,cx,cy
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,725,398,910,593,817,495
7,1074,957,1207,1055,1140,1006
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,1087,382,1260,527,1173,454
11,1087,382,1260,527,1173,455
12,1090,382,1262,528,1176,455
13,1089,382,1262,529,1175,455
14,764,394,942,591,853,492
15,764,393,942,591,853,492
16,781,392,953,593,867,492
17,781,393,952,593,867,493
18,788,396,962,597,875,497
19,788,397,962,597,875,497
20,749,402,955,610,852,506
21,749,402,955,610,852,506
22,1112,363,1267,504,1190,433
23,1112,363,1267,504,1190,433
24,1112,363,1265,504,1188,434
25,1096,360,1257,511,1177,435
26,1095,360,1257,512,1176,436
27,1037,329,1215,462,1126,395
28,1037,329,1216,462,1126,396
29,640,413,850,616,745,515
30,642,413,850,616,746,514
31,642,413,850,616,746,514
32,987,301,1158,436,1073,369
33,991,301,1158,434,1074,368
34,930,310,1101,462,1015,386
35,931,310,1101,462,1016,386
36,905,321,1081,463,993,392
37,905,321,1081,463,993,392
38,872,355,1016,504,944,430
39,871,354,1016,505,943,429
40,839,403,957,533,898,468
41,839,404,957,533,898,468
42,760,422,920,565,840,493
43,766,422,920,565,843,493
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,637,500,816,678,727,589
48,378,926,489,1017,434,971
49,378,926,489,1017,434,971
50,378,925,488,1016,433,971
51,378,926,487,1016,433,971
52,378,926,490,1016,434,971
53,378,926,489,1016,434,971
54,379,925,485,1015,432,970
55,379,925,485,1015,432,970
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
