frame,x1,y1,x2,y2,cx,cy
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,940,444,1034,542,987,493
17,949,444,1053,541,1001,493
18,965,438,1073,538,1019,488
19,984,430,1095,528,1039,479
20,998,423,1129,515,1063,469
21,1015,405,1143,506,1079,456
22,1035,388,1153,495,1094,442
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,1071,275,1175,377,1123,326
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,871,476,972,557,921,517
49,0,0,0,0,0,0
50,853,450,962,537,908,493
51,856,437,956,524,906,481
52,855,426,958,515,906,470
53,858,417,962,509,910,463
54,859,406,965,500,912,453
55,862,399,965,494,914,447
56,866,391,967,490,916,441
57,868,384,966,476,917,430
58,870,379,968,473,919,426
59,873,375,972,470,922,422
