frame,x1,y1,x2,y2,cx,cy
0,1043,545,1139,611,1091,578
1,1044,547,1141,612,1092,579
2,1045,547,1142,614,1094,581
3,1051,550,1145,619,1098,585
4,1052,551,1149,623,1100,587
5,1053,554,1151,628,1102,591
6,1054,559,1154,633,1104,596
7,1058,565,1159,643,1108,604
8,1058,568,1163,643,1110,606
9,1063,573,1165,645,1114,609
10,1065,579,1165,650,1115,614
11,1064,587,1167,655,1115,621
12,1066,592,1174,666,1120,629
13,1066,597,1175,668,1120,633
14,1066,604,1175,675,1121,640
15,1069,616,1173,679,1121,648
16,1074,624,1175,686,1125,655
17,1080,632,1185,690,1132,661
18,1091,638,1190,698,1140,668
19,1092,642,1192,700,1142,671
20,1094,645,1196,701,1145,673
21,1093,644,1198,702,1145,673
22,1094,644,1198,700,1146,672
23,1097,641,1201,698,1149,669
24,1085,634,1195,695,1140,665
25,1075,621,1184,689,1130,655
26,1079,617,1191,681,1135,649
27,1083,610,1181,673,1132,642
28,1080,597,1182,665,1131,631
29,1080,592,1186,660,1133,626
30,1086,576,1194,645,1140,611
31,1101,569,1203,640,1152,605
32,1107,548,1211,629,1159,589
33,1097,518,1206,610,1151,564
34,1056,473,1177,579,1116,526
35,1021,449,1124,544,1072,497
36,956,427,1071,515,1014,471
37,925,420,1023,511,974,466
38,903,415,998,509,950,462
39,885,414,973,503,929,459
40,878,414,973,516,926,465
41,873,413,964,518,919,465
42,866,416,959,519,913,467
43,864,420,957,520,910,470
44,861,421,951,521,906,471
45,856,421,947,523,901,472
46,851,424,943,522,897,473
47,849,425,936,525,892,475
48,844,429,927,528,885,479
49,839,430,927,531,883,480
50,834,431,918,533,876,482
51,830,433,919,538,874,485
52,824,434,916,540,870,487
53,822,433,915,542,868,487
54,819,436,912,543,866,489
55,816,438,910,542,863,490
56,815,440,909,542,862,491
57,815,444,902,543,859,494
58,814,445,899,546,856,495
59,815,451,898,551,856,501
