frame,x1,y1,x2,y2,cx,cy
0,1019,575,1122,651,1070,613
1,1021,577,1126,652,1074,614
2,1024,581,1127,655,1075,618
3,1025,583,1128,658,1077,621
4,1026,587,1129,657,1078,622
5,1028,589,1134,659,1081,624
6,1027,590,1138,659,1083,625
7,1031,593,1142,663,1086,628
8,1039,596,1147,663,1093,630
9,1042,598,1149,666,1095,632
10,1041,604,1146,670,1093,637
11,1043,610,1152,672,1098,641
12,1041,614,1146,678,1093,646
13,1044,617,1149,678,1097,648
14,1043,621,1150,681,1097,651
15,1044,627,1148,687,1096,657
16,1046,636,1153,692,1100,664
17,1047,640,1158,699,1102,670
18,1049,646,1156,703,1102,674
19,1058,656,1158,706,1108,681
20,1058,660,1161,712,1110,686
21,1058,667,1162,719,1110,693
22,1060,674,1162,724,1111,699
23,1063,677,1163,724,1113,701
24,0,0,0,0,0,0
25,1063,687,1156,725,1110,706
26,1053,685,1150,725,1101,705
27,1055,680,1145,724,1100,702
28,1043,674,1142,723,1092,698
29,1038,670,1143,722,1091,696
30,1026,660,1136,722,1081,691
31,1013,646,1113,715,1063,681
32,1000,633,1099,708,1049,671
33,1009,615,1108,696,1059,655
34,1010,593,1129,685,1070,639
35,1037,571,1151,650,1094,610
36,1030,525,1138,615,1084,570
37,0,0,0,0,0,0
38,916,389,1026,525,971,457
39,848,352,949,458,899,405
40,797,337,887,448,842,393
41,765,341,845,462,805,402
42,744,351,824,465,784,408
43,731,363,791,475,761,419
44,715,380,784,492,750,436
45,703,400,767,498,735,449
46,692,425,753,519,723,472
47,681,439,755,543,718,491
48,673,445,750,559,712,502
49,669,486,745,577,707,532
50,667,497,758,590,713,543
51,666,518,756,605,711,561
52,670,538,766,618,718,578
53,674,550,770,632,722,591
54,680,566,780,647,730,607
55,687,582,790,660,738,621
56,698,594,802,670,750,632
57,707,605,814,684,760,645
58,720,615,825,694,773,655
59,732,627,837,703,784,665
