frame,x1,y1,x2,y2,cx,cy
0,1029,587,1150,693,1090,640
1,1032,586,1152,697,1092,642
2,1036,594,1155,698,1095,646
3,1033,600,1159,703,1096,651
4,1036,606,1161,708,1099,657
5,1041,607,1163,712,1102,660
6,1042,610,1163,714,1103,662
7,1045,610,1161,715,1103,663
8,1047,611,1160,716,1103,664
9,1047,614,1161,718,1104,666
10,1049,617,1162,717,1105,667
11,1052,617,1164,721,1108,669
12,1054,621,1167,725,1110,673
13,1054,621,1167,727,1111,674
14,1053,620,1168,727,1111,673
15,1057,617,1173,724,1115,670
16,1061,615,1176,721,1118,668
17,1063,612,1181,713,1122,663
18,1072,605,1183,706,1127,655
19,1071,597,1183,696,1127,646
20,1075,587,1186,689,1131,638
21,1074,577,1185,679,1130,628
22,1077,566,1185,669,1131,617
23,1074,552,1187,658,1131,605
24,1072,544,1178,652,1125,598
25,1070,537,1175,644,1122,591
26,1066,531,1172,640,1119,586
27,1061,528,1171,638,1116,583
28,1058,524,1175,636,1117,580
29,1059,528,1174,641,1116,585
30,1065,540,1176,648,1120,594
31,1064,550,1181,660,1122,605
32,1061,572,1183,689,1122,631
33,1055,608,1168,701,1112,654
34,1032,621,1152,723,1092,672
35,1017,635,1134,736,1076,686
36,1002,637,1123,737,1063,687
37,991,637,1110,733,1050,685
38,979,629,1108,727,1044,678
39,979,614,1099,713,1039,663
40,976,607,1094,707,1035,657
41,975,596,1089,696,1032,646
42,970,588,1082,688,1026,638
43,960,584,1073,685,1016,635
44,957,578,1072,681,1014,630
45,956,573,1068,681,1012,627
46,951,570,1065,680,1008,625
47,950,574,1058,678,1004,626
48,945,574,1053,681,999,627
49,942,581,1048,680,995,630
50,939,583,1043,682,991,632
51,936,585,1039,681,987,633
52,935,588,1037,681,986,634
53,934,588,1036,683,985,635
54,934,588,1029,682,982,635
55,934,588,1026,682,980,635
56,934,589,1024,683,979,636
57,933,589,1022,682,978,636
58,933,589,1024,683,978,636
59,934,588,1026,682,980,635
