frame,x1,y1,x2,y2,cx,cy
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,938,411,1041,511,989,461
4,937,410,1039,507,988,458
5,936,408,1047,506,992,457
6,936,406,1050,509,993,458
7,935,407,1052,511,994,459
8,927,407,1044,504,986,455
9,928,408,1049,515,988,461
10,922,409,1047,515,985,462
11,919,414,1047,517,983,465
12,917,419,1051,520,984,469
13,927,423,1059,532,993,477
14,934,429,1065,532,999,480
15,940,435,1073,543,1007,489
16,947,445,1078,542,1012,493
16,948,446,1070,509,1009,477
17,949,452,1080,546,1014,499
18,959,456,1089,552,1024,504
19,968,463,1091,555,1030,509
20,973,470,1091,554,1032,512
21,965,471,1093,555,1029,513
22,973,474,1093,551,1033,513
23,975,476,1094,550,1035,513
24,977,475,1096,555,1036,515
25,980,476,1096,552,1038,514
26,981,476,1099,553,1040,514
27,983,474,1115,557,1049,516
28,986,473,1126,553,1056,513
29,982,468,1134,558,1058,513
30,1014,454,1153,554,1083,504
31,1007,421,1149,544,1078,482
32,968,366,1119,516,1044,441
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,692,183,805,333,748,258
37,666,172,787,320,726,246
38,647,157,768,311,708,234
39,641,159,749,297,695,228
40,635,160,733,290,684,225
41,619,160,723,292,671,226
42,609,162,721,290,665,226
43,605,163,718,294,662,228
44,603,167,716,296,659,232
45,598,173,719,301,658,237
46,596,178,720,306,658,242
47,596,184,728,309,662,247
48,598,189,730,315,664,252
49,601,200,742,323,671,261
50,603,209,747,334,675,271
51,609,218,751,340,680,279
52,615,231,765,352,690,292
53,622,241,762,359,692,300
54,634,255,776,369,705,312
55,641,270,786,380,714,325
56,652,283,797,389,725,336
57,660,297,808,400,734,349
58,669,316,815,414,742,365
59,680,327,830,427,755,377
