frame,x1,y1,x2,y2,cx,cy
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,690,454,760,541,725,498
20,670,442,742,533,706,487
21,650,427,737,516,693,472
22,628,415,721,496,674,456
23,609,393,718,474,664,434
24,591,368,699,448,645,408
25,572,340,686,425,629,382
26,562,316,684,409,623,362
27,554,292,669,398,612,345
28,552,269,668,372,610,321
29,561,251,669,354,615,302
30,566,236,665,338,615,287
30,912,446,981,511,947,479
31,568,228,668,323,618,275
31,909,441,976,509,943,475
32,573,223,672,320,623,272
33,579,224,674,318,626,271
34,585,228,674,317,630,272
35,584,230,672,316,628,273
36,841,439,950,519,896,479
37,838,450,942,522,890,486
38,572,262,655,350,613,306
39,833,468,946,534,889,501
40,832,473,937,538,885,506
41,0,0,0,0,0,0
42,524,346,632,441,578,393
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
