frame,x1,y1,x2,y2,cx,cy
0,826,705,894,735,860,720
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,871,696,949,731,910,714
18,857,693,948,731,903,712
19,849,690,937,729,893,710
20,842,681,936,730,889,705
21,833,676,932,727,882,702
22,825,675,917,724,871,699
23,817,669,910,718,864,694
24,806,662,898,708,852,685
25,793,654,883,701,838,677
26,781,644,894,695,838,670
27,767,640,871,688,819,664
28,755,635,872,684,814,660
29,738,625,852,682,795,653
30,724,618,846,682,785,650
31,708,611,829,679,768,645
32,695,603,823,675,759,639
33,686,591,793,667,740,629
34,682,575,802,653,742,614
35,684,555,798,636,741,596
36,688,518,803,615,746,566
37,708,487,812,592,760,540
38,735,450,841,566,788,508
39,729,411,858,549,794,480
39,755,421,854,544,805,483
40,781,390,881,513,831,451
40,759,393,880,533,820,463
41,801,356,894,494,848,425
42,821,337,913,466,867,401
43,842,328,925,428,883,378
44,858,308,944,433,901,371
45,873,296,960,422,917,359
46,881,285,968,422,924,354
47,883,279,974,417,928,348
48,892,273,987,410,939,342
49,903,274,992,405,947,340
50,906,268,991,409,949,338
51,907,271,993,413,950,342
52,910,273,997,414,953,343
53,913,274,1000,420,956,347
54,917,274,1007,418,962,346
55,916,275,1007,426,962,351
56,924,278,1011,426,967,352
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
