frame,x1,y1,x2,y2,cx,cy
0,697,430,849,520,773,475
1,686,429,838,518,762,474
2,679,426,834,515,757,470
3,673,423,828,513,750,468
4,668,422,822,509,745,465
5,664,415,812,505,738,460
6,659,411,811,499,735,455
7,656,406,804,491,730,448
8,652,399,795,488,723,444
9,643,392,791,483,717,438
10,637,380,788,476,713,428
11,628,374,788,470,708,422
12,619,363,779,464,699,413
13,612,352,776,455,694,403
14,604,343,742,450,673,397
15,597,331,736,445,666,388
16,588,326,737,444,662,385
17,585,316,730,445,658,381
18,574,310,715,437,644,373
19,564,306,716,451,640,378
20,553,314,708,455,630,384
21,545,321,703,460,624,391
22,540,328,699,474,620,401
23,535,349,704,482,619,416
24,530,366,696,494,613,430
25,523,388,693,506,608,447
26,522,407,702,519,612,463
27,523,422,697,530,610,476
28,530,440,706,545,618,493
29,531,452,704,556,618,504
30,542,468,708,566,625,517
31,551,478,712,575,632,527
32,556,486,729,584,643,535
33,567,488,725,586,646,537
34,569,472,738,581,654,527
35,570,463,738,573,654,518
36,567,441,749,549,658,495
37,566,420,747,527,656,473
38,566,376,754,500,660,438
39,576,326,779,457,678,392
40,596,275,775,418,686,347
41,620,238,773,372,697,305
42,641,204,796,339,719,272
43,672,163,850,308,761,235
44,703,131,875,281,789,206
45,741,118,877,255,809,187
46,775,110,906,250,840,180
47,799,107,914,244,857,175
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,947,357,1025,482,986,420
