frame,x1,y1,x2,y2,cx,cy
0,0,0,0,0,0,0
1,765,607,837,686,801,647
2,749,617,833,705,791,661
3,744,638,828,720,786,679
4,737,658,821,734,779,696
5,734,682,821,741,777,711
6,719,693,816,740,767,717
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,777,707,861,736,819,721
34,757,702,841,734,799,718
35,742,695,835,732,789,714
36,727,690,816,728,771,709
37,706,686,798,728,752,707
38,683,685,794,732,738,708
39,655,678,778,735,717,707
40,633,658,756,730,695,694
41,616,628,742,706,679,667
42,617,582,732,670,674,626
43,638,515,740,610,689,562
44,679,441,785,553,732,497
45,0,0,0,0,0,0
46,795,308,882,422,839,365
47,826,275,918,390,872,332
48,861,232,969,359,915,295
49,894,219,1010,349,952,284
50,914,209,1028,336,971,273
51,933,205,1039,325,986,265
52,946,201,1048,315,997,258
53,953,196,1056,314,1004,255
54,961,194,1061,316,1011,255
55,969,195,1063,318,1016,256
56,976,196,1068,321,1022,258
57,979,200,1066,330,1023,265
58,982,202,1072,336,1027,269
59,975,203,1077,358,1026,281
59,956,246,1036,352,996,299
59,953,233,1066,355,1010,294
