frame,x1,y1,x2,y2,cx,cy
0,696,631,831,720,763,675
1,689,633,827,720,758,676
2,684,633,825,721,754,677
3,680,633,818,721,749,677
4,676,634,811,722,743,678
5,668,635,808,722,738,679
6,664,636,803,723,733,680
7,658,636,799,723,729,679
8,654,636,790,723,722,679
9,648,635,785,722,717,679
10,638,633,788,723,713,678
11,629,632,777,721,703,677
12,627,629,775,721,701,675
13,616,626,771,720,694,673
14,606,625,771,718,689,672
15,602,624,768,718,685,671
16,598,623,765,718,682,670
17,594,621,761,719,677,670
18,593,621,761,723,677,672
19,591,623,764,728,677,675
20,590,625,761,729,676,677
21,592,629,773,733,683,681
22,593,631,773,733,683,682
23,597,636,775,733,686,684
24,598,641,781,739,689,690
25,599,643,786,755,692,699
26,604,648,788,759,696,704
27,611,656,797,768,704,712
28,614,661,807,774,710,717
29,616,663,807,780,712,721
30,626,669,813,785,720,727
31,625,657,811,786,718,722
32,631,666,813,786,722,726
33,635,666,816,784,726,725
34,641,667,817,780,729,724
35,644,661,827,778,735,720
36,647,657,831,774,739,715
37,650,657,832,767,741,712
38,652,657,830,763,741,710
39,656,655,829,757,743,706
40,662,651,838,753,750,702
41,662,651,835,747,749,699
42,669,645,834,743,752,694
43,676,640,840,739,758,690
44,681,640,840,739,761,689
45,686,639,840,738,763,688
46,690,639,842,736,766,688
47,695,640,844,736,770,688
48,702,640,837,738,769,689
49,707,639,842,735,774,687
50,710,639,842,734,776,686
51,714,638,842,732,778,685
52,719,635,842,732,780,683
53,723,632,839,731,781,682
54,725,627,841,730,783,679
55,725,622,841,726,783,674
56,728,619,841,724,785,671
57,732,617,841,722,787,670
58,734,616,838,720,786,668
59,738,619,843,718,790,668
